user_id,事件,时间,顺序
1180112429871271936,equipment,2023-12-05 01:02:57.097,3
1181036621416378368,draw_card,2023-12-05 12:48:26.314,1
1181036621416378368,equipment,2023-12-05 12:48:26.147,2
1181036621416378368,equipment,2023-12-05 12:48:26.146,3
1180250815290417152,Game_Level_enter,2023-12-05 10:40:42.219,1
1180250815290417152,equipment,2023-12-05 10:40:11.752,2
1180250815290417152,equipment,2023-12-05 10:40:08.271,3
1181216411591127040,equipment,2023-12-06 08:51:52.075,1
1181216411591127040,equipment,2023-12-06 08:51:40.302,2
1181216411591127040,equipment,2023-12-06 08:51:40.300,3
1180995246352248832,equipment,2023-12-05 10:33:29.381,1
1180995246352248832,equipment,2023-12-05 10:33:26.172,2
1180995246352248832,draw_card,2023-12-05 10:33:08.504,3
1182074830636191744,role_recruit,2023-12-10 13:04:21.957,1
1182074830636191744,role_recruit,2023-12-10 13:04:16.122,2
1182074830636191744,equipment,2023-12-10 13:03:31.421,3
1182074830636191744,equipment,2023-12-10 13:03:31.421,3
1182047525117366272,equipment,2023-12-13 12:49:21.238,1
1182047525117366272,equipment,2023-12-13 12:49:19.502,2
1182047525117366272,equipment,2023-12-13 12:49:17.025,3
1181606657575104514,Game_Level_enter,2023-12-07 16:50:37.330,1
1181606657575104514,equipment,2023-12-07 16:50:09.730,2
1181606657575104514,equipment,2023-12-07 16:50:09.728,3
1181755696459288576,role_recruit,2023-12-07 21:10:22.345,1
1181755696459288576,role_recruit,2023-12-07 21:10:17.896,2
1181755696459288576,Game_Level_enter,2023-12-07 20:57:13.113,3
1180482353844199424,role_recruit,2023-12-06 23:38:45.928,1
1180482353844199424,equipment,2023-12-06 23:32:49.094,2
1180482353844199424,Game_Level_enter,2023-12-06 23:17:43.379,3
1182018494003159040,Game_Level_enter,2023-12-31 21:28:13.725,1
1182018494003159040,equipment,2023-12-31 21:27:50.880,2
1182018494003159040,equipment,2023-12-31 21:27:50.192,3
1181396135202267136,Game_Level_enter,2023-12-06 19:37:21.048,1
1181396135202267136,equipment,2023-12-06 19:37:07.433,2
1181396135202267136,equipment,2023-12-06 19:36:54.989,3
1181742804066381824,Game_Level_enter,2023-12-30 19:40:20.718,1
1181742804066381824,equipment,2023-12-30 19:39:42.151,2
1181742804066381824,equipment,2023-12-30 19:39:40.320,3
1181976474916233216,equipment,2023-12-09 01:40:32.948,1
1181976474916233216,Game_Level_enter,2023-12-09 01:24:10.931,2
1181976474916233216,Game_Level_enter,2023-12-09 01:07:45.539,3
1182033701664464896,role_recruit,2023-12-11 00:08:42.748,1
1182033701664464896,equipment,2023-12-11 00:07:50.114,2
1182033701664464896,equipment,2023-12-11 00:07:31.382,3
1181689362014806018,equipment,2023-12-07 13:02:59.617,1
1181689362014806018,role_recruit,2023-12-07 13:02:14.355,2
1181689362014806018,equipment,2023-12-07 13:01:07.550,3
1182062000201543680,Game_Level_enter,2023-12-09 07:27:52.281,1
1182062000201543680,equipment,2023-12-09 07:27:32.261,2
