,content,send_at
196,https://ds4vggi6uzqae.cloudfront.net/saas/chat/iJbEt2HudmmwdwAfTcAU7uiunem58EEA.png,2024-01-04 10:55:10.573
197,1月4日購入の新春パック(￥7800)になります。ご確認お願いします,2024-01-04 11:05:21.214
198,https://ds4vggi6uzqae.cloudfront.net/saas/chat/I5mNFwqsNKw3JynJ0zZKQWhcJShBtKsc.png,2024-01-05 02:58:16.365
199,↑上記スクリーンショットの1/4の分になります,2024-01-05 02:59:21.670
200,訂正:¥7800ではなく¥7300の間違いでした,2024-01-05 03:00:50.391
201,状況としては、決済後にアプリがシャットダウンしたため、アプリを再起動しました。,2024-01-05 03:03:27.060
202,データを消したい,2024-01-05 03:12:00.165
203,消し方がわからない,2024-01-05 03:12:07.838
204,Googleのウォレットに残ってた金額が0になっているので、Google側で払い戻しできないか確認してみます,2024-01-05 03:13:32.872
205,ご対応ありがとうございました,2024-01-05 03:14:05.375
206,普通に消したいだけです,2024-01-05 03:41:19.038
207,メール確認しましたが、アイテムが一部違っていました,2024-01-05 03:43:16.373
208,https://ds4vggi6uzqae.cloudfront.net/saas/chat/QAdsUBWCM18asip5KftrjyKefWR0JHMh.png,2024-01-05 03:43:29.822
209,ガチャチケットではなく、キャラクターの欠片になってました,2024-01-05 03:44:16.855
210,以上、確認お願いします,2024-01-05 03:44:27.547
211,シリアルコードは何処から入れるのですか？,2024-01-05 04:18:30.005
212,画像参照。単発でしかガチャを引いていないのですが、これ3回目にはSかAどちらが出るのでしょうか？,2024-01-05 05:46:29.729
213,https://ds4vggi6uzqae.cloudfront.net/saas/chat/DH1i5fsR2ufbgWbgDfy6sgN204nafLLH.png,2024-01-05 05:47:03.535
214,https://ds4vggi6uzqae.cloudfront.net/saas/chat/nBLrIfOLD9VsHFFCCLWt9uQkHYCWPxtf.png,2024-01-05 05:56:52.461
215,あと定期的にこの+5%の強化が反映されません。修正お願いします。,2024-01-05 05:57:09.466
216,画像①↓ JST 2024/01/05/14:54,2024-01-05 06:00:25.735
217,https://ds4vggi6uzqae.cloudfront.net/saas/chat/spH1hxAPCZ7MfPxjunqdQukQfpJsA07M.png,2024-01-05 06:00:57.692
218,https://ds4vggi6uzqae.cloudfront.net/saas/chat/c2auNEmQXuE3N3p2iW00TP8RLOpjjoXM.png,2024-01-05 06:02:11.835
219,装備アイテムの素材が分かりにくいです。,2024-01-05 08:18:47.765
220,レジェンドからアビスに昇格の際に必要な素材が分かりません。,2024-01-05 08:19:28.116
221,ガシャクーポンの確認取れました。間違えて送られてきた千春の欠片については、どうしたらよろしいでしょうか？確認お願いいたします,2024-01-05 08:22:52.852
222,ありがとうございます！,2024-01-05 08:28:14.155
223,違います。攻撃値も体力値もアプリを再起動すると数値が減っている時があるのです。,2024-01-05 08:38:43.052
