$part_date,#user_id,金币余额,绿币余额,广告场景,ad_name,翻倍奖励原因,累计游戏次数,奖励金额,资源类型
2023/10/15,1.16329E+18,540000,0.52,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.42,绿币
2023/10/15,1.16333E+18,540000,1.48,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.38,绿币
2023/10/13,1.16259E+18,640000,1.53,cash game获得幸运数字,ad_video_cashgame_num,,1,1.43,绿币
2023/10/13,1.16265E+18,540000,1.33,看广告开启活动场次-海星之旅,ad_video_starfish,,2,0.89,绿币
2023/10/15,1.16319E+18,262000,2.18,cash game获得幸运数字,ad_video_cashgame_num,,0,1.3,绿币
2023/10/14,1.16306E+18,1140000,1.87,bingo场次详情弹窗中看广告开启比赛,ad_video_details_bingo,,2,1.49,绿币
2023/10/15,1.1632E+18,580000,1.94,bingo额外wild技能广告,ad_video_wild,,3,1.55,绿币
2023/10/14,1.16281E+18,308000,9.33,看广告开启活动场次-海星之旅,ad_video_starfish,,7,1.58,绿币
2023/10/15,1.1632E+18,740000,0.74,通用翻倍奖励,ad_video_popup_bonus,任务奖励,1,0.74,绿币
2023/10/15,1.1632E+18,540000,1.42,看广告开启活动场次-海星之旅,ad_video_starfish,,2,0.99,绿币
2023/10/15,1.15058E+18,2560884,37.47,bingo额外wild技能广告,ad_video_wild,,1,-360000,金币
2023/10/15,1.1522E+18,74000,4.92,bingo额外wild技能广告,ad_video_wild,,3,-40000,金币
2023/10/15,1.16336E+18,690000,3.56,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,2,0.93,绿币
2023/10/13,1.16266E+18,640000,1.42,bingo额外wild技能广告,ad_video_wild,,2,1.42,绿币
2023/10/15,1.16338E+18,640000,1.85,bingo额外wild技能广告,ad_video_wild,,2,1.85,绿币
2023/10/15,1.16337E+18,1040000,1.45,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.45,绿币
2023/10/15,1.16338E+18,540000,1.5,bingo场次详情弹窗中看广告开启比赛,ad_video_details_bingo,,1,1.4,绿币
2023/10/14,1.16308E+18,640000,2.23,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,2.23,绿币
2023/10/14,1.13442E+18,7112207,62.92,bingo额外wild技能广告,ad_video_wild,,1,-360000,金币
2023/10/15,1.16229E+18,464224,13.48,bingo场次中广告获取道具的弹窗,ad_video_popup_powerup,,1,5.99,绿币
2023/10/15,1.16339E+18,540000,1.5,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.4,绿币
2023/10/14,1.16306E+18,540000,2.54,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.44,绿币
2023/10/15,1.16338E+18,740000,1.13,cash game获得幸运数字,ad_video_cashgame_num,,1,1.13,绿币
2023/10/15,1.16338E+18,540000,1.75,看广告开启活动场次-海星之旅,ad_video_starfish,,2,1.42,绿币
2023/10/15,1.16305E+18,1043000,3.96,礼物界面领取广告奖励,ad_video_gift_ad,,0,1.64,绿币
2023/10/13,1.16158E+18,189000,3.67,bingo场次中广告获取道具的弹窗,ad_video_popup_powerup,,2,-360000,金币
2023/10/14,1.163E+18,540000,2,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.9,绿币
2023/10/15,1.16325E+18,540000,1.59,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.49,绿币
2023/10/15,1.16329E+18,180000,1.45,bingo额外wild技能广告,ad_video_wild,,2,1.25,绿币
2023/10/15,1.16326E+18,640000,0.67,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.67,绿币
2023/10/14,1.15939E+18,5013000,20.02,bingo场次中广告获取道具的弹窗,ad_video_popup_powerup,,1,-360000,金币
